id,title,latitude,longitude,locality,address,gender,available_for,transit_score,lifestyle_score,occupancy,rent,deposit,attached_bathroom,food_included,breakfast,lunch,dinner,mess,wifi,laundry,power_backup,refrigerator,common_tv,room_cleaning,warden,cooking_allowed,parking,total_bathrooms,room_ac,room_cupboard,room_tv,room_geyser,room_bedding,room_attached_bath,gate_closing_time,smoking_allowed,guardian_required,nonveg_allowed
8a9f948497ab0cac0197ab4eface23d3,"PG for Girls in 39, Rajiv Gandhi Salai, Ezhil Nagar, Omr, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.899284385500332,80.22851139307022,Sholinganallur,"Rajiv Gandhi Salai near Sri Lakshmi Jewellers, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Both,6.2,6.2,DOUBLE,7000,3000,False,True,True,True,True,True,True,True,False,True,False,True,True,True,Bike,4,False,False,False,False,False,False,11:00 PM,True,False,False
8a9f948497ab0cac0197ab4eface23d3,"PG for Girls in 39, Rajiv Gandhi Salai, Ezhil Nagar, Omr, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.899284385500332,80.22851139307022,Sholinganallur,"Rajiv Gandhi Salai near Sri Lakshmi Jewellers, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Both,6.2,6.2,THREE,7000,3000,False,True,True,True,True,True,True,True,False,True,False,True,True,True,Bike,4,False,False,False,False,False,False,11:00 PM,True,False,False
8a9f948497ab0cac0197ab4eface23d3,"PG for Girls in 39, Rajiv Gandhi Salai, Ezhil Nagar, Omr, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.899284385500332,80.22851139307022,Sholinganallur,"Rajiv Gandhi Salai near Sri Lakshmi Jewellers, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, 39, Rajiv Gandhi Salai, Ezhil Nagar, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India, chennai",FEMALE,Both,6.2,6.2,FOUR,5500,3000,True,True,True,True,True,True,True,True,False,True,False,True,True,True,Bike,4,True,True,False,True,True,True,11:00 PM,True,False,False
8a9fbb83811a374401811a4a46f70971,PG for Girls in Karapakkam,12.915931744630013,80.22926324559758,OMR-Karappakam,"Rajiv Gandhi Salai,Near GRT Jewellers, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,SINGLE,20000,10000,False,True,True,True,True,False,False,True,False,False,False,True,True,False,Bike,0,False,False,False,False,False,False,,True,False,False
8a9fbb83811a374401811a4a46f70971,PG for Girls in Karapakkam,12.915931744630013,80.22926324559758,OMR-Karappakam,"Rajiv Gandhi Salai,Near GRT Jewellers, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,DOUBLE,13000,13000,False,True,True,True,True,False,False,True,False,False,False,True,True,False,Bike,0,False,False,False,False,False,False,,True,False,False
8a9fbb83811a374401811a4a46f70971,PG for Girls in Karapakkam,12.915931744630013,80.22926324559758,OMR-Karappakam,"Rajiv Gandhi Salai,Near GRT Jewellers, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,THREE,10000,5000,False,True,True,True,True,False,False,True,False,False,False,True,True,False,Bike,0,False,False,False,False,False,False,,True,False,False
8a9fbb83811a374401811a4a46f70971,PG for Girls in Karapakkam,12.915931744630013,80.22926324559758,OMR-Karappakam,"Rajiv Gandhi Salai,Near GRT Jewellers, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,FOUR,8000,5000,False,True,True,True,True,False,False,True,False,False,False,True,True,False,Bike,0,False,False,False,False,False,False,,True,False,False
8aa9ae1a9f40ced1019f4105995b2102,PG for Girls in Sholinganallur,12.910725,80.231203,OMR-Karappakam,"Avvaiyar st Near Sri Krishna Men's PG/Hostel, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,5.1,8.5,DOUBLE,8500,8500,False,True,True,True,True,True,True,True,False,True,True,True,True,False,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f92438cd389eb018cd40846b9580e,PG for Girls in Karapakkam,12.913894,80.229662,OMR-Karappakam,"Rajiv Gandhi Salai near to  Sri Bhaktha Anjaneyar swamy Temple, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.7,6.3,DOUBLE,0,0,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f92438cd389eb018cd40846b9580e,PG for Girls in Karapakkam,12.913894,80.229662,OMR-Karappakam,"Rajiv Gandhi Salai near to  Sri Bhaktha Anjaneyar swamy Temple, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.7,6.3,THREE,6500,2000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f92438cd389eb018cd40846b9580e,PG for Girls in Karapakkam,12.913894,80.229662,OMR-Karappakam,"Rajiv Gandhi Salai near to  Sri Bhaktha Anjaneyar swamy Temple, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.7,6.3,FOUR,6000,2000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fac839a4360fc019a4397f0661bde,PG for Girls in Karapakkam,12.912171144871971,80.23093878437906,OMR-Karappakam," Veerapandiya Kattaboman St, near Padma ladies pg, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.2,6.3,THREE,7000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fac839a4360fc019a4397f0661bde,PG for Girls in Karapakkam,12.912171144871971,80.23093878437906,OMR-Karappakam," Veerapandiya Kattaboman St, near Padma ladies pg, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.2,6.3,FOUR,6500,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fb08595c0fb190195c10aa71b028f,PG for Girls in Sholinganallur,12.9088139,80.2309932,OMR-Karappakam,"Nehru Main Road near JAGANNATH VIDYALAYA MATRICULATION HR SEC SCHOOL, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,5.8,6.3,DOUBLE,8000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,True,False,False,False,False,False,,False,False,False
8a9fb08595c0fb190195c10aa71b028f,PG for Girls in Sholinganallur,12.9088139,80.2309932,OMR-Karappakam,"Nehru Main Road near JAGANNATH VIDYALAYA MATRICULATION HR SEC SCHOOL, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,5.8,6.3,THREE,7500,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fb08595c0fb190195c10aa71b028f,PG for Girls in Sholinganallur,12.9088139,80.2309932,OMR-Karappakam,"Nehru Main Road near JAGANNATH VIDYALAYA MATRICULATION HR SEC SCHOOL, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,5.8,6.3,FOUR,7000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,True,False,False,False,False,False,,False,False,False
8a9f93517430318a0174333d03800f10,PG for Girls in Sholinganallur,12.909549615747915,80.2294317460327,OMR-Karappakam,"Sholinganallur  Near Saravana Stores The Crown Mall, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,,,SINGLE,15000,15000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f93517430318a0174333d03800f10,PG for Girls in Sholinganallur,12.909549615747915,80.2294317460327,OMR-Karappakam,"Sholinganallur  Near Saravana Stores The Crown Mall, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,,,DOUBLE,9500,9500,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
